指标名称,中国:社会融资规模存量:同比
频率,月
单位,%
指标ID,M5525763
来源,中国人民银行
2024-10-31,7.8
2024-09-30,8.0
2024-08-31,8.1
2024-07-31,8.2
2024-06-30,8.1
2024-05-31,8.4
2024-04-30,8.3
2024-03-31,8.7
2024-02-29,9.0
2024-01-31,9.5
2023-12-31,9.5
2023-11-30,9.4
2023-10-31,9.3
2023-09-30,9.0
2023-08-31,9.0
2023-07-31,8.9
2023-06-30,9.0
2023-05-31,9.5
2023-04-30,10.0
2023-03-31,10.0
2023-02-28,9.9
2023-01-31,9.4
2022-12-31,9.6
2022-11-30,10.0
2022-10-31,10.3
2022-09-30,10.6
2022-08-31,10.5
2022-07-31,10.7
2022-06-30,10.8
2022-05-31,10.5
2022-04-30,10.2
2022-03-31,10.5
2022-02-28,10.2
2022-01-31,10.5
2021-12-31,10.3
2021-11-30,10.1
2021-10-31,10.0
2021-09-30,10.0
2021-08-31,10.3
2021-07-31,10.7
2021-06-30,11.0
2021-05-31,11.0
2021-04-30,11.7
2021-03-31,12.3
2021-02-28,13.3
2021-01-31,13.0
2020-12-31,13.3
2020-11-30,13.6
2020-10-31,13.7
2020-09-30,13.5
2020-08-31,13.3
2020-07-31,12.9
2020-06-30,12.8
2020-05-31,12.5
2020-04-30,12.0
2020-03-31,11.5
2020-02-29,10.7
2020-01-31,10.7
2019-12-31,10.692756
2019-11-30,10.669227
2019-10-31,10.581898
2019-09-30,10.666387
2019-08-31,10.676172
2019-07-31,10.848681
2019-06-30,11.193424
2019-05-31,11.025001
2019-04-30,10.805548
2019-03-31,11.162117
2019-02-28,10.645691
2019-01-31,10.851788
2018-12-31,10.259731
2018-11-30,10.307183
2018-10-31,10.789977
2018-09-30,11.208433
2018-08-31,11.516139
2018-07-31,11.485086
2018-06-30,11.76127
2018-05-31,12.199076
2018-04-30,12.652969
2018-03-31,12.690308
2018-02-28,13.388316
2018-01-31,13.433579
2017-12-31,14.081822
2017-11-30,14.492229
2017-10-31,14.955353
2017-09-30,14.888994
2017-08-31,15.112273
2017-07-31,15.542253
2017-06-30,14.917823
2017-05-31,15.503387
2017-04-30,15.501043
2017-03-31,15.710338
2017-02-28,16.383288
2017-01-31,16.411026
2016-12-31,12.8
2016-11-30,13.3
2016-10-31,12.7
2016-09-30,12.5
2016-08-31,12.3
2016-07-31,12.2
2016-06-30,12.4
2016-05-31,12.6
2016-04-30,13.1
2016-03-31,13.4
2016-02-29,12.7
2016-01-31,13.1
2015-12-31,12.4
2015-09-30,12.5
2015-06-30,11.9
2015-03-31,13.0
2014-12-31,14.3
2013-12-31,17.5
2012-12-31,19.1
2011-12-31,18.2
2010-12-31,27.0
2009-12-31,34.8
2008-12-31,20.5
2007-12-31,21.5
2006-12-31,18.1
2005-12-31,13.5
2004-12-31,14.9
2003-12-31,22.3

数据来源：Wind






























































































































