日期,利率:中期借贷便利(MLF):1年
2024/11/25,2
2024/10/25,2
2024/9/25,2
2024/8/26,2.3
2024/7/25,2.3
2024/7/15,2.5
2024/6/17,2.5
2024/5/15,2.5
2024/4/15,2.5
2024/3/15,2.5
2024/2/18,2.5
2024/1/15,2.5
2023/12/15,2.5
2023/11/15,2.5
2023/10/16,2.5
2023/9/15,2.5
2023/8/15,2.5
2023/7/17,2.65
2023/6/15,2.65
2023/5/15,2.75
2023/4/17,2.75
2023/3/15,2.75
2023/2/15,2.75
2023/1/16,2.75
2022/12/15,2.75
2022/11/15,2.75
2022/10/17,2.75
2022/9/15,2.75
2022/8/15,2.75
2022/7/15,2.85
2022/6/15,2.85
2022/5/16,2.85
2022/4/15,2.85
2022/3/15,2.85
2022/2/15,2.85
2022/1/17,2.85
2021/12/15,2.95
2021/11/15,2.95
2021/10/15,2.95
2021/9/15,2.95
2021/8/16,2.95
2021/7/15,2.95
2021/6/15,2.95
2021/5/17,2.95
2021/4/15,2.95
2021/3/15,2.95
2021/2/18,2.95
2021/1/15,2.95
2020/12/15,2.95
2020/11/30,2.95
2020/11/16,2.95
2020/10/15,2.95
2020/9/15,2.95
2020/8/17,2.95
2020/7/15,2.95
2020/6/15,2.95
2020/5/15,2.95
2020/4/15,2.95
2020/3/16,3.15
2020/2/17,3.15
2020/1/15,3.25
2019/12/16,3.25
2019/12/6,3.25
2019/11/15,3.25
2019/11/5,3.25
2019/10/16,3.3
2019/9/17,3.3
2019/8/26,3.3
2019/8/15,3.3
2019/7/23,3.3
2019/7/15,3.3
2019/6/19,3.3
2019/6/6,3.3
2019/5/14,3.3
2019/4/17,3.3
2018/12/14,3.3
2018/12/6,3.3
2018/11/5,3.3
2018/9/17,3.3
2018/9/7,3.3
2018/8/24,3.3
2018/8/15,3.3
2018/7/23,3.3
2018/7/13,3.3
2018/6/19,3.3
2018/6/6,3.3
2018/5/14,3.3
2018/4/17,3.3
2018/3/16,3.25
2018/3/7,3.25
2018/2/13,3.25
2018/1/15,3.25
2017/12/14,3.25
2017/12/6,3.2
2017/11/3,3.2
2017/10/13,3.2
2017/9/7,3.2
2017/8/15,3.2
2017/7/13,3.2
2017/6/6,3.2
2017/5/12,3.2
2017/4/17,3.2
2017/3/16,3.2
2017/3/7,3.1
2017/2/15,3.1
2017/1/24,3.1
2017/1/13,3
2016/12/16,3
2016/12/6,3
2016/11/16,3
2016/11/3,3
2016/10/18,3
2016/10/13,3
2016/9/7,3
2016/8/15,3
2016/7/18,3
2016/7/13,3
2016/6/7,3
2016/2/19,3
2016/1/21,3.25
2016/1/19,3.25
