日期,中国:社会融资规模存量:同比
2024/10/31,7.8
2024/9/30,8
2024/8/31,8.1
2024/7/31,8.2
2024/6/30,8.1
2024/5/31,8.4
2024/4/30,8.3
2024/3/31,8.7
2024/2/29,9
2024/1/31,9.5
2023/12/31,9.5
2023/11/30,9.4
2023/10/31,9.3
2023/9/30,9
2023/8/31,9
2023/7/31,8.9
2023/6/30,9
2023/5/31,9.5
2023/4/30,10
2023/3/31,10
2023/2/28,9.9
2023/1/31,9.4
2022/12/31,9.6
2022/11/30,10
2022/10/31,10.3
2022/9/30,10.6
2022/8/31,10.5
2022/7/31,10.7
2022/6/30,10.8
2022/5/31,10.5
2022/4/30,10.2
2022/3/31,10.5
2022/2/28,10.2
2022/1/31,10.5
2021/12/31,10.3
2021/11/30,10.1
2021/10/31,10
2021/9/30,10
2021/8/31,10.3
2021/7/31,10.7
2021/6/30,11
2021/5/31,11
2021/4/30,11.7
2021/3/31,12.3
2021/2/28,13.3
2021/1/31,13
2020/12/31,13.3
2020/11/30,13.6
2020/10/31,13.7
2020/9/30,13.5
2020/8/31,13.3
2020/7/31,12.9
2020/6/30,12.8
2020/5/31,12.5
2020/4/30,12
2020/3/31,11.5
2020/2/29,10.7
2020/1/31,10.7
2019/12/31,10.692756
2019/11/30,10.669227
2019/10/31,10.581898
2019/9/30,10.666387
2019/8/31,10.676172
2019/7/31,10.848681
2019/6/30,11.193424
2019/5/31,11.025001
2019/4/30,10.805548
2019/3/31,11.162117
2019/2/28,10.645691
2019/1/31,10.851788
2018/12/31,10.259731
2018/11/30,10.307183
2018/10/31,10.789977
2018/9/30,11.208433
2018/8/31,11.516139
2018/7/31,11.485086
2018/6/30,11.76127
2018/5/31,12.199076
2018/4/30,12.652969
2018/3/31,12.690308
2018/2/28,13.388316
2018/1/31,13.433579
2017/12/31,14.081822
2017/11/30,14.492229
2017/10/31,14.955353
2017/9/30,14.888994
2017/8/31,15.112273
2017/7/31,15.542253
2017/6/30,14.917823
2017/5/31,15.503387
2017/4/30,15.501043
2017/3/31,15.710338
2017/2/28,16.383288
2017/1/31,16.411026
2016/12/31,12.8
2016/11/30,13.3
2016/10/31,12.7
2016/9/30,12.5
2016/8/31,12.3
2016/7/31,12.2
2016/6/30,12.4
2016/5/31,12.6
2016/4/30,13.1
2016/3/31,13.4
2016/2/29,12.7
2016/1/31,13.1
2015/12/31,12.4
2015/9/30,12.5
2015/6/30,11.9
2015/3/31,13
2014/12/31,14.3
2013/12/31,17.5
2012/12/31,19.1
2011/12/31,18.2
2010/12/31,27
2009/12/31,34.8
2008/12/31,20.5
2007/12/31,21.5
2006/12/31,18.1
2005/12/31,13.5
2004/12/31,14.9
2003/12/31,22.3
数据来源：Wind,
